Algorithm,Log Source,Log,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
MDD,duration only drift,dataset_100cases_40min_ABD.xes,ERROR,"[37, 75]",206.145,00:03:26,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_40min_ABD_noisy_10%.xes,ERROR,"[37, 75]",204.048,00:03:24,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_40min_ABD_noisy_20%.xes,ERROR,"[37, 75]",207.197,00:03:27,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_40min_ABD_noisy_5%.xes,ERROR,"[37, 75]",206.96,00:03:26,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_50min_ABD.xes,ERROR,"[37, 75]",206.089,00:03:26,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_50min_ABD_noisy_10%.xes,ERROR,"[37, 75]",206.275,00:03:26,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_50min_ABD_noisy_20%.xes,ERROR,"[37, 75]",206.883,00:03:26,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_50min_ABD_noisy_5%.xes,ERROR,"[37, 75]",202.171,00:03:22,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_60min_ABD.xes,ERROR,"[37, 75]",213.21,00:03:33,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_60min_ABD_noisy_10%.xes,ERROR,"[37, 75]",220.459,00:03:40,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
